time(ms), dt, force, posX, rawPosX, posXDeg, velX (rad/s)
1104, 2, -10000, -1013, 7361, -45.623512, 0.000000
1106, 2, -10000, -1030, 7347, -46.392601, -6.711576
1107, 1, -10000, -1046, 7334, -47.106758, -12.464354
1109, 2, -10000, -1063, 7320, -47.875847, -6.711576
1111, 2, -10000, -1080, 7306, -48.644936, -6.711576
1113, 2, -10000, -1098, 7292, -49.414028, -6.711576
1115, 2, -10000, -1113, 7279, -50.128181, -6.232177
1116, 1, -10000, -1132, 7264, -50.952206, -14.381948
1118, 2, -10000, -1149, 7250, -51.721298, -6.711576
1120, 2, -10000, -1166, 7236, -52.490387, -6.711576
1122, 2, -10000, -1166, 7236, -52.490387, 0.000000
1123, 1, -10000, -1184, 7221, -53.314411, -14.381948
1125, 2, -10000, -1201, 7207, -54.083500, -6.711576
1127, 2, -10000, -1218, 7193, -54.852592, -6.711576
1129, 2, -10000, -1233, 7181, -55.511810, -5.752779
1131, 2, -10000, -1249, 7168, -56.225967, -6.232177
1133, 2, -10000, -1266, 7154, -56.995056, -6.711576
1135, 2, -10000, -1284, 7139, -57.819080, -7.190974
1136, 1, -10000, -1301, 7125, -58.588169, -13.423151
1138, 2, -10000, -1319, 7111, -59.357262, -6.711576
1140, 2, -10000, -1337, 7096, -60.181286, -7.190974
1142, 2, -10000, -1354, 7082, -60.950375, -6.711576
1148, 6, -10000, -1389, 7053, -62.543491, -4.634183
1149, 1, -10000, -1408, 7038, -63.367516, -14.381948
1151, 2, -10000, -1426, 7023, -64.191544, -7.190974
1153, 2, -10000, -1443, 7009, -64.960632, -6.711576
1155, 2, -10000, -1460, 6995, -65.729721, -6.711576
1156, 1, -10000, -1478, 6980, -66.553741, -14.381948
1158, 2, -10000, -1496, 6966, -67.322838, -6.711576
1160, 2, -10000, -1514, 6951, -68.146858, -7.190974
1162, 2, -10000, -1532, 6936, -68.970886, -7.190974
1164, 2, -10000, -1532, 6936, -68.970886, 0.000000
1165, 1, -10000, -1550, 6921, -69.794907, -14.381948
1167, 2, -10000, -1570, 6905, -70.673866, -7.670372
1169, 2, -10000, -1586, 6892, -71.388023, -6.232177
1174, 5, -10000, -1642, 6846, -73.915031, -8.820928
1176, 2, -10000, -1642, 6846, -73.915031, 0.000000
1178, 2, -10000, -1660, 6831, -74.739059, -7.190974
1179, 1, -10000, -1679, 6816, -75.563087, -14.381948
1181, 2, -10000, -1696, 6802, -76.332176, -6.711576
1183, 2, -10000, -1713, 6788, -77.101265, -6.711576
1185, 2, -10000, -1731, 6773, -77.925285, -7.190974
1187, 2, -10000, -1749, 6758, -78.749313, -7.190974
1188, 1, -10000, -1769, 6742, -79.628273, -15.340743
1190, 2, -10000, -1787, 6727, -80.452301, -7.190974
1192, 2, -10000, -1806, 6712, -81.276321, -7.190974
1194, 2, -10000, -1806, 6712, -81.276321, 0.000000
1196, 2, -10000, -1823, 6698, -82.045410, -6.711576
1197, 1, -10000, -1823, 6698, -82.045410, 0.000000
1198, 1, -10000, -1843, 6681, -82.979309, -16.299540
1200, 2, -10000, -1862, 6666, -83.803329, -7.190974
1202, 2, -10000, -1862, 6666, -83.803329, 0.000000
1203, 1, 10000, -1898, 6636, -85.451385, -28.763895
1209, 6, 10000, -1955, 6590, -87.978394, -7.350773
1211, 2, 10000, -1975, 6573, -88.912285, -8.149770
1212, 1, 10000, -1994, 6558, -89.736313, -14.381948
1214, 2, 10000, -1994, 6558, -89.736313, 0.000000
1216, 2, 10000, -2014, 6541, -90.670204, -8.149770
1217, 1, 10000, -2033, 6526, -91.494232, -14.381948
1219, 2, 10000, -2051, 6511, -92.318260, -7.190974
1221, 2, 10000, -2066, 6499, -92.977478, -5.752779
1223, 2, 10000, -2078, 6489, -93.526825, -4.793983
1225, 2, 10000, -2086, 6482, -93.911369, -3.355788
1226, 1, 10000, -2093, 6477, -94.186043, -4.793983
1228, 2, 10000, -2097, 6473, -94.405785, -1.917593
